data,extract2,extract1,extract
(Total: 34, Open: 6, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0202,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 1, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0203,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0204,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0301,2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,2:00pm - 2:50pm,CSI  2117,CMSC132
(Total: 30, Open: 3, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,2:00pm - 2:50pm,CSI  2117,CMSC132
0302,2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,2:00pm - 2:50pm,CSI  2117,CMSC132
(Total: 29, Open: 0, Waitlist: 1),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,2:00pm - 2:50pm,CSI  2117,CMSC132
0303,2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,2:00pm - 2:50pm,CSI  2117,CMSC132
(Total: 29, Open: 8, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,2:00pm - 2:50pm,CSI  2117,CMSC132
0101,9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,9:30am - 10:45am,CSI  1115,CMSC216
(Total: 28, Open: 2, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,9:30am - 10:45am,CSI  1115,CMSC216
0102,9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,9:30am - 10:45am,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,9:30am - 10:45am,CSI  1115,CMSC216
0103,9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,9:30am - 10:45am,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 1),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,9:30am - 10:45am,CSI  1115,CMSC216
0104,9:30am - 10:45am,CSI  1115,CMSC216
Nelson Padua-Perez ,9:30am - 10:45am,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  1115,CMSC216
TuTh ,9:30am - 10:45am,CSI  1115,CMSC216
0201,11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,11:00am - 12:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,11:00am - 12:15pm,CSI  1115,CMSC216
0202,11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,11:00am - 12:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,11:00am - 12:15pm,CSI  1115,CMSC216
0203,11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,11:00am - 12:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,11:00am - 12:15pm,CSI  1115,CMSC216
0204,11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,11:00am - 12:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,11:00am - 12:15pm,CSI  1115,CMSC216
0301,2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,2:00pm - 3:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,2:00pm - 3:15pm,CSI  1115,CMSC216
0302,2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,2:00pm - 3:15pm,CSI  1115,CMSC216
(Total: 28, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,2:00pm - 3:15pm,CSI  1115,CMSC216
0303,2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,2:00pm - 3:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,2:00pm - 3:15pm,CSI  1115,CMSC216
0304,2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,2:00pm - 3:15pm,CSI  1115,CMSC216
(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,2:00pm - 3:15pm,CSI  1115,CMSC216
0101,2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,2:00pm - 3:15pm,CSI  2117,CMSC250
(Total: 29, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,2:00pm - 3:15pm,CSI  2117,CMSC250
0102,2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,2:00pm - 3:15pm,CSI  2117,CMSC250
(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,2:00pm - 3:15pm,CSI  2117,CMSC250
0103,2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,2:00pm - 3:15pm,CSI  2117,CMSC250
(Total: 29, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,2:00pm - 3:15pm,CSI  2117,CMSC250
0201,3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,3:30pm - 4:45pm,CSI  1115,CMSC250
(Total: 29, Open: 0, Waitlist: 5),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,3:30pm - 4:45pm,CSI  1115,CMSC250
0202,3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,3:30pm - 4:45pm,CSI  1115,CMSC250
(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,3:30pm - 4:45pm,CSI  1115,CMSC250
0203,3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,3:30pm - 4:45pm,CSI  1115,CMSC250
(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,3:30pm - 4:45pm,CSI  1115,CMSC250
0204,3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,3:30pm - 4:45pm,CSI  1115,CMSC250
(Total: 29, Open: 14, Waitlist: 0),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,3:30pm - 4:45pm,CSI  1115,CMSC250
0301,11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,11:00am - 12:15pm,CSI  3117,CMSC250
(Total: 29, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,11:00am - 12:15pm,CSI  3117,CMSC250
0302,11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,11:00am - 12:15pm,CSI  3117,CMSC250
(Total: 29, Open: 1, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,11:00am - 12:15pm,CSI  3117,CMSC250
0303,11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,11:00am - 12:15pm,CSI  3117,CMSC250
(Total: 29, Open: 0, Waitlist: 5),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,11:00am - 12:15pm,CSI  3117,CMSC250
0101,12:30pm - 1:45pm,CSI  3118,CMSC250
Thomas Goldstein,12:30pm - 1:45pm,CSI  3118,CMSC250
(Total: 25, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3118,CMSC250
TuTh ,12:30pm - 1:45pm,CSI  3118,CMSC250
0101,11:00am - 12:15pm,CSI  2117,CMSC289
James Reggia ,11:00am - 12:15pm,CSI  2117,CMSC289
(Total: 60, Open: 0, Waitlist: 36),11:00am - 12:15pm,CSI  2117,CMSC289
TuTh ,11:00am - 12:15pm,CSI  2117,CMSC289
0101,3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,3:30pm - 4:45pm,CSI  3117,CMSC330
(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,3:30pm - 4:45pm,CSI  3117,CMSC330
0102,3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,3:30pm - 4:45pm,CSI  3117,CMSC330
(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,3:30pm - 4:45pm,CSI  3117,CMSC330
0103,3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,3:30pm - 4:45pm,CSI  3117,CMSC330
(Total: 27, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,3:30pm - 4:45pm,CSI  3117,CMSC330
0201,12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,12:30pm - 1:45pm,CSI  3117,CMSC330
(Total: 27, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,12:30pm - 1:45pm,CSI  3117,CMSC330
0202,12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,12:30pm - 1:45pm,CSI  3117,CMSC330
(Total: 27, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,12:30pm - 1:45pm,CSI  3117,CMSC330
0203,12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,12:30pm - 1:45pm,CSI  3117,CMSC330
(Total: 27, Open: 13, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,12:30pm - 1:45pm,CSI  3117,CMSC330
0301,2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,2:00pm - 3:15pm,CSI  3117,CMSC330
(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,2:00pm - 3:15pm,CSI  3117,CMSC330
0302,2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,2:00pm - 3:15pm,CSI  3117,CMSC330
(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,2:00pm - 3:15pm,CSI  3117,CMSC330
0303,2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,2:00pm - 3:15pm,CSI  3117,CMSC330
(Total: 27, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,2:00pm - 3:15pm,CSI  3117,CMSC330
0101,10:00am - 10:50am,CSI  3117,CMSC351
Hamid Mahini,10:00am - 10:50am,CSI  3117,CMSC351
(Total: 88, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  3117,CMSC351
MWF ,10:00am - 10:50am,CSI  3117,CMSC351
0201,11:00am - 11:50am,CSI  3117,CMSC351
Hamid Mahini,11:00am - 11:50am,CSI  3117,CMSC351
(Total: 88, Open: 0, Waitlist: 4),11:00am - 11:50am,CSI  3117,CMSC351
MWF ,11:00am - 11:50am,CSI  3117,CMSC351
0301,3:00pm - 3:50pm,CSI  2117,CMSC351
Hamid Mahini,3:00pm - 3:50pm,CSI  2117,CMSC351
(Total: 88, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  2117,CMSC351
MWF ,3:00pm - 3:50pm,CSI  2117,CMSC351
0101,1:00pm - 1:50pm,AVW  4172,CMSC396
Atif Memon , Neil Spring,1:00pm - 1:50pm,AVW  4172,CMSC396
(Total: 25, Open: 0, Waitlist: 0),1:00pm - 1:50pm,AVW  4172,CMSC396
W ,1:00pm - 1:50pm,AVW  4172,CMSC396
0101,3:30pm - 4:45pm,CSI  1122,CMSC411
Michelle Hugue ,3:30pm - 4:45pm,CSI  1122,CMSC411
(Total: 45, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1122,CMSC411
TuTh ,3:30pm - 4:45pm,CSI  1122,CMSC411
0201,2:00pm - 3:15pm,CSI  1122,CMSC411
Michelle Hugue ,2:00pm - 3:15pm,CSI  1122,CMSC411
(Total: 45, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  1122,CMSC411
TuTh ,2:00pm - 3:15pm,CSI  1122,CMSC411
0101,11:00am - 12:15pm,CSI  1122,CMSC412
Neil Spring,11:00am - 12:15pm,CSI  1122,CMSC412
(Total: 25, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  1122,CMSC412
TuTh ,11:00am - 12:15pm,CSI  1122,CMSC412
0102,11:00am - 12:15pm,CSI  1122,CMSC412
Neil Spring,11:00am - 12:15pm,CSI  1122,CMSC412
(Total: 25, Open: 0, Waitlist: 3),11:00am - 12:15pm,CSI  1122,CMSC412
TuTh ,11:00am - 12:15pm,CSI  1122,CMSC412
0101,12:30pm - 1:45pm,CSI  1122,CMSC414
A.U. Shankar ,12:30pm - 1:45pm,CSI  1122,CMSC414
(Total: 40, Open: 0, Waitlist: 6),12:30pm - 1:45pm,CSI  1122,CMSC414
TuTh ,12:30pm - 1:45pm,CSI  1122,CMSC414
0201,3:30pm - 4:45pm,CSI  1122,CMSC414
Elaine Shi,3:30pm - 4:45pm,CSI  1122,CMSC414
(Total: 50, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  1122,CMSC414
MW ,3:30pm - 4:45pm,CSI  1122,CMSC414
0101,11:00am - 12:15pm,CSI  3120,CMSC417
Ashok Agrawala ,11:00am - 12:15pm,CSI  3120,CMSC417
(Total: 40, Open: 5, Waitlist: 0),11:00am - 12:15pm,CSI  3120,CMSC417
TuTh ,11:00am - 12:15pm,CSI  3120,CMSC417
0201,3:30pm - 4:45pm,CSI  2107,CMSC417
Instructor: TBA,3:30pm - 4:45pm,CSI  2107,CMSC417
(Total: 40, Open: 27, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC417
TuTh ,3:30pm - 4:45pm,CSI  2107,CMSC417
0101,12:30pm - 1:45pm,CSI  2120,CMSC420
Hanan Samet ,12:30pm - 1:45pm,CSI  2120,CMSC420
(Total: 40, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  2120,CMSC420
TuTh ,12:30pm - 1:45pm,CSI  2120,CMSC420
0201,3:30pm - 4:45pm,CSI  3120,CMSC420
Michelle Hugue ,3:30pm - 4:45pm,CSI  3120,CMSC420
(Total: 40, Open: 0, Waitlist: 10),3:30pm - 4:45pm,CSI  3120,CMSC420
MW ,3:30pm - 4:45pm,CSI  3120,CMSC420
0101,2:00pm - 3:15pm,CSI  1121,CMSC421
Donald Perlis ,2:00pm - 3:15pm,CSI  1121,CMSC421
(Total: 50, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  1121,CMSC421
TuTh ,2:00pm - 3:15pm,CSI  1121,CMSC421
0201,9:30am - 10:45am,CSI  3117,CMSC421
Donald Perlis ,9:30am - 10:45am,CSI  3117,CMSC421
(Total: 46, Open: 0, Waitlist: 3),9:30am - 10:45am,CSI  3117,CMSC421
TuTh ,9:30am - 10:45am,CSI  3117,CMSC421
0101,3:30pm - 4:45pm,CSI  1121,CMSC423
Hector Corrada Bravo,3:30pm - 4:45pm,CSI  1121,CMSC423
(Total: 48, Open: 20, Waitlist: 0),3:30pm - 4:45pm,CSI  1121,CMSC423
MW ,3:30pm - 4:45pm,CSI  1121,CMSC423
0101,2:00pm - 3:15pm,CSI  3120,CMSC424
Nicholas Roussopoulos ,2:00pm - 3:15pm,CSI  3120,CMSC424
(Total: 40, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  3120,CMSC424
TuTh ,2:00pm - 3:15pm,CSI  3120,CMSC424
0101,11:00am - 12:15pm,CSI  2120,CMSC426
John Aloimonos,11:00am - 12:15pm,CSI  2120,CMSC426
(Total: 40, Open: 7, Waitlist: 0),11:00am - 12:15pm,CSI  2120,CMSC426
TuTh ,11:00am - 12:15pm,CSI  2120,CMSC426
0101,2:00pm - 3:15pm,CSI  1121,CMSC427
Zia Khan,2:00pm - 3:15pm,CSI  1121,CMSC427
(Total: 40, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
MW ,2:00pm - 3:15pm,CSI  1121,CMSC427
0101,3:30pm - 4:45pm,CSI  2107,CMSC430
Jeffrey Foster ,3:30pm - 4:45pm,CSI  2107,CMSC430
(Total: 40, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC430
MW ,3:30pm - 4:45pm,CSI  2107,CMSC430
0101,3:30pm - 4:45pm,CSI  1121,CMSC433
Michael Hicks ,3:30pm - 4:45pm,CSI  1121,CMSC433
(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  1121,CMSC433
TuTh ,3:30pm - 4:45pm,CSI  1121,CMSC433
0101,9:30am - 10:45am,CSI  1122,CMSC434
Jon Froehlich,9:30am - 10:45am,CSI  1122,CMSC434
(Total: 44, Open: 0, Waitlist: 8),9:30am - 10:45am,CSI  1122,CMSC434
TuTh ,9:30am - 10:45am,CSI  1122,CMSC434
0201,11:00am - 12:15pm,CSI  1121,CMSC434
Vibha Sazawal,11:00am - 12:15pm,CSI  1121,CMSC434
(Total: 44, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1121,CMSC434
TuTh ,11:00am - 12:15pm,CSI  1121,CMSC434
0101,12:30pm - 1:45pm,CSI  1121,CMSC435
James Purtilo ,12:30pm - 1:45pm,CSI  1121,CMSC435
(Total: 50, Open: 0, Waitlist: 4),12:30pm - 1:45pm,CSI  1121,CMSC435
TuTh ,12:30pm - 1:45pm,CSI  1121,CMSC435
0101,9:30am - 10:45am,CSI  1121,CMSC436
Adam Porter ,9:30am - 10:45am,CSI  1121,CMSC436
(Total: 50, Open: 0, Waitlist: 14),9:30am - 10:45am,CSI  1121,CMSC436
TuTh ,9:30am - 10:45am,CSI  1121,CMSC436
0201,12:30pm - 1:45pm,CSI  2117,CMSC436
Atif Memon ,12:30pm - 1:45pm,CSI  2117,CMSC436
(Total: 60, Open: 0, Waitlist: 11),12:30pm - 1:45pm,CSI  2117,CMSC436
TuTh ,12:30pm - 1:45pm,CSI  2117,CMSC436
0101,12:30pm - 1:45pm,CSI  3120,CMSC451
Aravind Srinivasan,12:30pm - 1:45pm,CSI  3120,CMSC451
(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3120,CMSC451
TuTh ,12:30pm - 1:45pm,CSI  3120,CMSC451
0101,2:00pm - 3:15pm,CSI  3118,CMSC452
William Gasarch ,2:00pm - 3:15pm,CSI  3118,CMSC452
(Total: 32, Open: 11, Waitlist: 0),2:00pm - 3:15pm,CSI  3118,CMSC452
TuTh ,2:00pm - 3:15pm,CSI  3118,CMSC452
