data,extract2,extract1,extract
TuTh ,11:00am - 12:15pm,CSI  2107,CMSC498
0101,6:00pm - 8:45pm,HBK  0123,CMSC498
Marshini Chetty ,6:00pm - 8:45pm,HBK  0123,CMSC498
(Total: 10, Open: 0, Waitlist: 4),6:00pm - 8:45pm,HBK  0123,CMSC498
Th ,6:00pm - 8:45pm,HBK  0123,CMSC498
0101,3:30pm - 4:45pm,CSI  3118,CMSC631
David Van Horn,3:30pm - 4:45pm,CSI  3118,CMSC631
(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  3118,CMSC631
TuTh ,3:30pm - 4:45pm,CSI  3118,CMSC631
0101,3:30pm - 4:45pm,CSI  3120,CMSC660
Ramani Duraiswami,3:30pm - 4:45pm,CSI  3120,CMSC660
(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3120,CMSC660
TuTh ,3:30pm - 4:45pm,CSI  3120,CMSC660
0101,5:00pm - 6:15pm,CSI  4122,CMSC663
Howard Elman,5:00pm - 6:15pm,CSI  4122,CMSC663
(Total: 20, Open: 15, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
TuTh ,5:00pm - 6:15pm,CSI  4122,CMSC663
0101,2:00pm - 3:15pm,CSI  4122,CMSC666
Tobias von Petersdorff ,2:00pm - 3:15pm,CSI  4122,CMSC666
(Total: 25, Open: 8, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
TuTh ,2:00pm - 3:15pm,CSI  4122,CMSC666
0101,9:30am - 10:45am,CSI  3120,CMSC701
Mihai Pop,9:30am - 10:45am,CSI  3120,CMSC701
(Total: 40, Open: 9, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
TuTh ,9:30am - 10:45am,CSI  3120,CMSC701
0101,2:00pm - 3:30pm,AVW  3258,CMSC712
A.U. Shankar ,2:00pm - 3:30pm,AVW  3258,CMSC712
(Total: 20, Open: 0, Waitlist: 0),2:00pm - 3:30pm,AVW  3258,CMSC712
TuTh ,2:00pm - 3:30pm,AVW  3258,CMSC712
0101,2:00pm - 3:15pm,CSI  2120,CMSC723
Hal Daume,2:00pm - 3:15pm,CSI  2120,CMSC723
(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:15pm,CSI  2120,CMSC723
TuTh ,2:00pm - 3:15pm,CSI  2120,CMSC723
0101,11:00am - 12:15pm,CSI  3118,CMSC733
David Jacobs ,11:00am - 12:15pm,CSI  3118,CMSC733
(Total: 32, Open: 0, Waitlist: 17),11:00am - 12:15pm,CSI  3118,CMSC733
TuTh ,11:00am - 12:15pm,CSI  3118,CMSC733
0101,9:30am - 10:45am,CSI  2118,CMSC737
Atif Memon ,9:30am - 10:45am,CSI  2118,CMSC737
(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  2118,CMSC737
TuTh ,9:30am - 10:45am,CSI  2118,CMSC737
0101,12:30pm - 1:45pm,CSI  2118,CMSC754
David Mount ,12:30pm - 1:45pm,CSI  2118,CMSC754
(Total: 32, Open: 0, Waitlist: 15),12:30pm - 1:45pm,CSI  2118,CMSC754
TuTh ,12:30pm - 1:45pm,CSI  2118,CMSC754
0101,11:00am - 12:50pm,CSI  2117,CMSC798
Jeffrey Foster ,11:00am - 12:50pm,CSI  2117,CMSC798
(Total: 40, Open: 10, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
F ,11:00am - 12:50pm,CSI  2117,CMSC798
0101,11:00am - 12:15pm,AVW  3258,CMSC818
Peter Keleher ,11:00am - 12:15pm,AVW  3258,CMSC818
(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
TuTh ,11:00am - 12:15pm,AVW  3258,CMSC818
0101,4:00pm - 5:00pm,CSI  1115,CMSC818
Instructor: TBA,4:00pm - 5:00pm,CSI  1115,CMSC818
(Total: 145, Open: 145, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
MW ,4:00pm - 5:00pm,CSI  1115,CMSC818
0101,12:30pm - 1:45pm,JMP  1202,CMSC818
Tudor Dumitras,12:30pm - 1:45pm,JMP  1202,CMSC818
(Total: 15, Open: 13, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
MW ,12:30pm - 1:45pm,JMP  1202,CMSC818
0101,2:00pm - 3:15pm,CSI  2118,CMSC828
Larry Davis ,2:00pm - 3:15pm,CSI  2118,CMSC828
(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
TuTh ,2:00pm - 3:15pm,CSI  2118,CMSC828
0101,9:30am - 10:45am,CSI  3118,CMSC828
Venkatramanan Subrahmanian ,9:30am - 10:45am,CSI  3118,CMSC828
(Total: 25, Open: 12, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
TuTh ,9:30am - 10:45am,CSI  3118,CMSC828
0101,3:30pm - 4:45pm,CSI  2118,CMSC858
Mohammad Hajiaghayi,3:30pm - 4:45pm,CSI  2118,CMSC858
(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  2118,CMSC858
TuTh ,3:30pm - 4:45pm,CSI  2118,CMSC858
