split,split1,split2,split3,split4,split5,split6,split7
CMSC723,0101,,40,0,10,TuTh 2:00pm - 3:15pm,CSI  2120
CMSC723,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  2120
CMSC733,0101,,,,,TuTh 11:00am - 12:15pm,CSI  3118
CMSC733,0101,David Jacobs,,,,TuTh 11:00am - 12:15pm,CSI  3118
CMSC733,0101,,32,0,17,TuTh 11:00am - 12:15pm,CSI  3118
CMSC733,0101,,,,,TuTh 11:00am - 12:15pm,CSI  3118
CMSC737,0101,,,,,TuTh 9:30am - 10:45am,CSI  2118
CMSC737,0101,Atif Memon,,,,TuTh 9:30am - 10:45am,CSI  2118
CMSC737,0101,,20,0,0,TuTh 9:30am - 10:45am,CSI  2118
CMSC737,0101,,,,,TuTh 9:30am - 10:45am,CSI  2118
CMSC754,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  2118
CMSC754,0101,David Mount,,,,TuTh 12:30pm - 1:45pm,CSI  2118
CMSC754,0101,,32,0,15,TuTh 12:30pm - 1:45pm,CSI  2118
CMSC754,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  2118
CMSC798,0101,,,,,F 11:00am - 12:50pm,CSI  2117
CMSC798,0101,Jeffrey Foster,,,,F 11:00am - 12:50pm,CSI  2117
CMSC798,0101,,40,10,0,F 11:00am - 12:50pm,CSI  2117
CMSC798,0101,,,,,F 11:00am - 12:50pm,CSI  2117
CMSC818,0101,,,,,TuTh 11:00am - 12:15pm,AVW  3258
CMSC818,0101,Peter Keleher,,,,TuTh 11:00am - 12:15pm,AVW  3258
CMSC818,0101,,20,1,0,TuTh 11:00am - 12:15pm,AVW  3258
CMSC818,0101,,,,,TuTh 11:00am - 12:15pm,AVW  3258
CMSC818,0101,,,,,MW 4:00pm - 5:00pm,CSI  1115
CMSC818,0101,Instructor: TBA,,,,MW 4:00pm - 5:00pm,CSI  1115
CMSC818,0101,,145,145,0,MW 4:00pm - 5:00pm,CSI  1115
CMSC818,0101,,,,,MW 4:00pm - 5:00pm,CSI  1115
CMSC818,0101,,,,,MW 12:30pm - 1:45pm,JMP  1202
CMSC818,0101,Tudor Dumitras,,,,MW 12:30pm - 1:45pm,JMP  1202
CMSC818,0101,,15,13,0,MW 12:30pm - 1:45pm,JMP  1202
CMSC818,0101,,,,,MW 12:30pm - 1:45pm,JMP  1202
CMSC828,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  2118
CMSC828,0101,Larry Davis,,,,TuTh 2:00pm - 3:15pm,CSI  2118
CMSC828,0101,,25,2,0,TuTh 2:00pm - 3:15pm,CSI  2118
CMSC828,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  2118
CMSC828,0101,,,,,TuTh 9:30am - 10:45am,CSI  3118
CMSC828,0101,Venkatramanan Subrahmanian,,,,TuTh 9:30am - 10:45am,CSI  3118
CMSC828,0101,,25,12,0,TuTh 9:30am - 10:45am,CSI  3118
CMSC828,0101,,,,,TuTh 9:30am - 10:45am,CSI  3118
CMSC858,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  2118
CMSC858,0101,Mohammad Hajiaghayi,,,,TuTh 3:30pm - 4:45pm,CSI  2118
CMSC858,0101,,20,3,0,TuTh 3:30pm - 4:45pm,CSI  2118
CMSC858,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  2118
