split,split1,split2,split3,split4,split5,split6,split7
CMSC216,0301,,28,0,0,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC216,0302,Nelson Padua-Perez,,,,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC216,0302,,28,2,0,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC216,0303,Nelson Padua-Perez,,,,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC216,0303,,28,0,0,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC216,0304,Nelson Padua-Perez,,,,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC216,0304,,28,0,0,TuTh 2:00pm - 3:15pm,CSI  1115
CMSC250,0101,Clyde Kruskal,,,,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0101,,29,0,4,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0102,Clyde Kruskal,,,,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0102,,29,0,5,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0103,Clyde Kruskal,,,,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0103,,29,0,3,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0103,,,,,TuTh 2:00pm - 3:15pm,CSI  2117
CMSC250,0201,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0201,Clyde Kruskal,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0201,,29,0,5,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0201,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0202,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0202,Clyde Kruskal,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0202,,29,0,3,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0202,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0203,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0203,Clyde Kruskal,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0203,,29,0,3,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0203,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0204,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0204,Clyde Kruskal,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0204,,29,14,0,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0204,,,,,TuTh 3:30pm - 4:45pm,CSI  1115
CMSC250,0301,,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0301,Thomas Reinhardt,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0301,,29,0,1,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0301,,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0302,,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0302,Thomas Reinhardt,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0302,,29,1,0,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0302,,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0303,,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0303,Thomas Reinhardt,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0303,,29,0,5,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0303,,,,,TuTh 11:00am - 12:15pm,CSI  3117
CMSC250,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  3118
CMSC250,0101,Thomas Goldstein,,,,TuTh 12:30pm - 1:45pm,CSI  3118
CMSC250,0101,,25,0,0,TuTh 12:30pm - 1:45pm,CSI  3118
CMSC250,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  3118
CMSC289,0101,,,,,TuTh 11:00am - 12:15pm,CSI  2117
CMSC289,0101,James Reggia,,,,TuTh 11:00am - 12:15pm,CSI  2117
CMSC289,0101,,60,0,36,TuTh 11:00am - 12:15pm,CSI  2117
CMSC289,0101,,,,,TuTh 11:00am - 12:15pm,CSI  2117
CMSC330,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0101,Chau-Wen Tseng,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0101,,27,0,0,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0102,,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0102,Chau-Wen Tseng,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0102,,27,0,0,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0102,,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0103,,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0103,Chau-Wen Tseng,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0103,,27,1,0,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0103,,,,,TuTh 3:30pm - 4:45pm,CSI  3117
CMSC330,0201,,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0201,Chau-Wen Tseng,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0201,,27,0,0,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0201,,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0202,,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0202,Chau-Wen Tseng,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0202,,27,0,1,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0202,,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0203,,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0203,Chau-Wen Tseng,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0203,,27,13,0,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0203,,,,,TuTh 12:30pm - 1:45pm,CSI  3117
CMSC330,0301,,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0301,Chau-Wen Tseng,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0301,,27,0,0,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0301,,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0302,,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0302,Chau-Wen Tseng,,,,TuTh 2:00pm - 3:15pm,CSI  3117
