data,merge,extract4,extract3,extract2,extract1,extract
MW ,TuTh,0101,(Total: 40, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
Jeffrey Foster ,TuTh,0101,(Total: 40, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC430
MW ,TuTh,0101,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  2107,CMSC430
Michael Hicks ,TuTh,0101,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  1121,CMSC433
Jon Froehlich,TuTh,0101,(Total: 44, Open: 0, Waitlist: 8),9:30am - 10:45am,CSI  1122,CMSC434
Vibha Sazawal,TuTh,0201,(Total: 44, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1121,CMSC434
James Purtilo ,TuTh,0101,(Total: 50, Open: 0, Waitlist: 4),12:30pm - 1:45pm,CSI  1121,CMSC435
Adam Porter ,TuTh,0101,(Total: 50, Open: 0, Waitlist: 14),9:30am - 10:45am,CSI  1121,CMSC436
Atif Memon ,TuTh,0201,(Total: 60, Open: 0, Waitlist: 11),12:30pm - 1:45pm,CSI  2117,CMSC436
Aravind Srinivasan,TuTh,0101,(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3120,CMSC451
William Gasarch ,TuTh,0101,(Total: 32, Open: 11, Waitlist: 0),2:00pm - 3:15pm,CSI  3118,CMSC452
Jonathan Katz,MWF,0101,(Total: 40, Open: 0, Waitlist: 3),12:00pm - 12:50pm,CSI  1121,CMSC456
Harland Glaz ,TuTh,0101,(Total: 33, Open: 0, Waitlist: 2),12:30pm - 1:45pm,MTH  0304,CMSC460
Changhui Tan,TuTh,0201,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
Maria Cameron,MWF,0101,(Total: 25, Open: 11, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
Dana Nau ,TuTh,0101,(Total: 40, Open: 9, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
Uzi Vishkin ,TuTh,0101,(Total: 10, Open: 7, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
MW ,TuTh,0101,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
Amol Deshpande,TuTh,0101,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,CSI  2107,CMSC498
Marshini Chetty ,TuTh,0101,(Total: 10, Open: 0, Waitlist: 4),6:00pm - 8:45pm,HBK  0123,CMSC498
Th ,TuTh,0101,(Total: 20, Open: 3, Waitlist: 0),6:00pm - 8:45pm,HBK  0123,CMSC498
David Van Horn,TuTh,0101,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  3118,CMSC631
Ramani Duraiswami,TuTh,0101,(Total: 25, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  3120,CMSC660
Howard Elman,TuTh,0101,(Total: 20, Open: 15, Waitlist: 0),5:00pm - 6:15pm,CSI  4122,CMSC663
Tobias von Petersdorff ,TuTh,0101,(Total: 25, Open: 8, Waitlist: 0),2:00pm - 3:15pm,CSI  4122,CMSC666
Mihai Pop,TuTh,0101,(Total: 40, Open: 9, Waitlist: 0),9:30am - 10:45am,CSI  3120,CMSC701
