split,split1,split2,split3,split4,split5,split6,split7
CMSC100,0101,,,,,,CSI  2117
CMSC100,,Charles Kassir,,,,,CSI  2117
CMSC100,,,45,4,0,,CSI  2117
CMSC100,,,,,,M 4:00pm - 4:50pm,CSI  2117
CMSC106,0101,,,,,,CSI  2117
CMSC106,,Jianwu Wang,,,,,CSI  2117
CMSC106,,,45,0,5,,CSI  2117
CMSC106,,,,,,TuTh 9:30am - 10:45am,CSI  2117
CMSC131,0101,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0102,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0103,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,1,0,,CSI  1115
CMSC131,,,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0104,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,1,0,,CSI  1115
CMSC131,,,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0201,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,1,0,,CSI  1115
CMSC131,,,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0202,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,1,0,,CSI  1115
CMSC131,,,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0203,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0204,,,,,,CSI  1115
CMSC131,,Evan Golub,,,,,CSI  1115
CMSC131,,,31,0,1,,CSI  1115
CMSC131,,,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0301,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0302,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0303,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0304,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0401,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0402,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,7,0,,CSI  1115
CMSC131,,,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0403,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,0,0,,CSI  1115
CMSC131,,,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0404,,,,,,CSI  1115
CMSC131,,Thomas Reinhardt,,,,,CSI  1115
CMSC131,,,31,7,0,,CSI  1115
CMSC131,,,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC132,0101,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,0,2,,CSI  1115
CMSC132,,,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0102,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,0,0,,CSI  1115
CMSC132,,,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0103,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,0,0,,CSI  1115
CMSC132,,,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0104,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,0,2,,CSI  1115
CMSC132,,,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0201,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,6,0,,CSI  1115
CMSC132,,,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0202,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,1,0,,CSI  1115
CMSC132,,,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0203,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,0,0,,CSI  1115
CMSC132,,,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0204,,,,,,CSI  1115
CMSC132,,Laurence Herman,,,,,CSI  1115
CMSC132,,,34,0,0,,CSI  1115
CMSC132,,,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0301,,,,,,CSI  2117
CMSC132,,Laurence Herman,,,,,CSI  2117
CMSC132,,,30,3,0,,CSI  2117
CMSC132,,,,,,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0302,,,,,,CSI  2117
CMSC132,,Laurence Herman,,,,,CSI  2117
CMSC132,,,29,0,1,,CSI  2117
CMSC132,,,,,,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0303,,,,,,CSI  2117
CMSC132,,Laurence Herman,,,,,CSI  2117
CMSC132,,,29,8,0,,CSI  2117
